Month,Period,Borena_NDVI,Guji_NDVI,Bale_NDVI,West Arsi_NDVI,Arsi_NDVI
Jan,1,0.3934,0.5535,0.4117,0.445,0.3757
,2,0.3607,0.5137,0.3809,0.4296,0.355
,3,0.3388,0.4842,0.3599,0.4201,0.341
Feb,4,0.3233,0.4623,0.3446,0.4139,0.3304
,5,0.313,0.4469,0.3336,0.4063,0.3205
,6,0.308,0.438,0.3282,0.4,0.3142
Mar,7,0.3095,0.4358,0.3291,0.3969,0.3132
,8,0.324,0.4437,0.341,0.3984,0.3203
,9,0.362,0.475,0.3705,0.4061,0.34
Apr,10,0.4252,0.5345,0.4238,0.4198,0.3736
,11,0.5047,0.6144,0.4958,0.4351,0.4162
,12,0.5685,0.6864,0.5636,0.4517,0.4605
May,13,0.6001,0.731,0.604,0.4697,0.4968
,14,0.6017,0.7473,0.6177,0.4856,0.5182
,15,0.5755,0.74,0.6059,0.4929,0.5211
Jun,16,0.5241,0.709,0.5696,0.4881,0.5127
,17,0.4639,0.6627,0.5185,0.4723,0.4996
,18,0.4118,0.6182,0.4674,0.4555,0.4878
Jul,19,0.3725,0.5776,0.4247,0.4478,0.4854
,20,0.3479,0.5468,0.3952,0.4501,0.4968
,21,0.3351,0.5248,0.3792,0.4629,0.5219
Aug,22,0.3314,0.5162,0.3745,0.4844,0.5579
,23,0.3349,0.5204,0.3801,0.5097,0.5974
,24,0.3421,0.5364,0.3931,0.5343,0.6306
Sep,25,0.3457,0.5469,0.4067,0.5589,0.6518
,26,0.3479,0.5541,0.4239,0.5769,0.6614
,27,0.3584,0.5696,0.4561,0.5891,0.6617
Oct,28,0.388,0.6058,0.5085,0.596,0.6559
,29,0.4395,0.6592,0.5683,0.5951,0.6394
,30,0.5023,0.7099,0.6087,0.5858,0.6125
Nov,31,0.5488,0.7331,0.6185,0.5691,0.5782
,32,0.5679,0.7348,0.609,0.5482,0.5404
,33,0.5601,0.7213,0.5811,0.5274,0.5028
Dec,34,0.5272,0.6902,0.5399,0.5071,0.467
,35,0.4792,0.6441,0.4926,0.485,0.432
,36,0.4262,0.5917,0.4454,0.4615,0.399
